GeneID	Symbol	description	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	OMIM
54715	RBFOX1	RNA binding fox-1 homolog 1	16	NC_000016.10	5239721	7713340	605104
7534	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	8	NC_000008.11	100916523	100953382	601288
3651	PDX1	pancreatic and duodenal homeobox 1	13	NC_000013.11	27920000	27926313	600733
627	BDNF	brain derived neurotrophic factor	11	NC_000011.10	27654893	27722030	113505
5074	PAWR	pro-apoptotic WT1 regulator	12	NC_000012.12	79584879	79690964	601936
3981	LIG4	DNA ligase 4	13	NC_000013.11	108207442	108218349	601837
1312	COMT	catechol-O-methyltransferase	22	NC_000022.11	19941772	19969975	116790
6532	SLC6A4	solute carrier family 6 member 4	17	NC_000017.11	30194319	30235697	182138
4524	MTHFR	methylenetetrahydrofolate reductase	1	NC_000001.11	11785723	11805964	607093
5789	PTPRD	protein tyrosine phosphatase receptor type D	9	NC_000009.12	8314246	10613002	601598
3569	IL6	interleukin 6	7	NC_000007.14	22727200	22731998	147620
5205	ATP8B1	ATPase phospholipid transporting 8B1	18	NC_000018.10	57646426	57803315	602397
8324	FZD7	frizzled class receptor 7	2	NC_000002.12	202033855	202038441	603410
1813	DRD2	dopamine receptor D2	11	NC_000011.10	113409605	113475398	126450
4318	MMP9	matrix metallopeptidase 9	20	NC_000020.11	46008908	46016561	120361
6531	SLC6A3	solute carrier family 6 member 3	5	NC_000005.10	1392794	1445440	126455
2908	NR3C1	nuclear receptor subfamily 3 group C member 1	5	NC_000005.10	143277931	143435512	138040
1815	DRD4	dopamine receptor D4	11	NC_000011.10	637269	640706	126452
1723	DHODH	dihydroorotate dehydrogenase (quinone)	16	NC_000016.10	72008744	72027659	126064
1012	CDH13	cadherin 13	16	NC_000016.10	82626969	83800640	601364
4128	MAOA	monoamine oxidase A	X	NC_000023.11	43655006	43746817	309850
7015	TERT	telomerase reverse transcriptase	5	NC_000005.10	1253167	1295068	187270
3356	HTR2A	5-hydroxytryptamine receptor 2A	13	NC_000013.11	46831546	46898082	182135
23411	SIRT1	sirtuin 1	10	NC_000010.11	67884656	67918390	604479
126	ADH1C	"alcohol dehydrogenase 1C (class I), gamma polypeptide"	4	NC_000004.12	99336497	99352746	103730
1557	CYP2C19	cytochrome P450 family 2 subfamily C member 19	10	NC_000010.11	94762681	94855547	124020
7942	TFEB	transcription factor EB	6	NC_000006.12	41683978	41736223	600744
154810	AMOTL1	angiomotin like 1	11	NC_000011.10	94706460	94876748	614657
1565	CYP2D6	cytochrome P450 family 2 subfamily D member 6	22	NC_000022.11	42126499	42130810	124030
10531	PITRM1	pitrilysin metallopeptidase 1	10	NC_000010.11	3137727	3172841	618211
79068	FTO	FTO alpha-ketoglutarate dependent dioxygenase	16	NC_000016.10	53703963	54121941	610966
3383	ICAM1	intercellular adhesion molecule 1	19	NC_000019.10	10271120	10286615	147840
2932	GSK3B	glycogen synthase kinase 3 beta	3	NC_000003.12	119821321	120094447	605004
7704	ZBTB16	zinc finger and BTB domain containing 16	11	NC_000011.10	114059711	114256770	176797
1759	DNM1	dynamin 1	9	NC_000009.12	128203379	128255244	602377
3557	IL1RN	interleukin 1 receptor antagonist	2	NC_000002.12	113099360	113134014	147679
6529	SLC6A1	solute carrier family 6 member 1	3	NC_000003.12	10992748	11039247	137165
55693	KDM4D	lysine demethylase 4D	11	NC_000011.10	94973709	94999519	609766
121278	TPH2	tryptophan hydroxylase 2	12	NC_000012.12	71938845	72032440	607478
2332	FMR1	fragile X messenger ribonucleoprotein 1	X	NC_000023.11	147911919	147951125	309550
5071	PRKN	parkin RBR E3 ubiquitin protein ligase	6	NC_000006.12	161347417	162727766	602544
5265	SERPINA1	serpin family A member 1	14	NC_000014.9	94376747	94390635	107400
1812	DRD1	dopamine receptor D1	5	NC_000005.10	175440036	175444182	126449
6530	SLC6A2	solute carrier family 6 member 2	16	NC_000016.10	55655988	55706192	163970
1814	DRD3	dopamine receptor D3	3	NC_000003.12	114127580	114199407	126451
1621	DBH	dopamine beta-hydroxylase	9	NC_000009.12	133636363	133659329	609312
150	ADRA2A	adrenoceptor alpha 2A	10	NC_000010.11	111077029	111080907	104210
4353	MPO	myeloperoxidase	17	NC_000017.11	58269855	58280935	606989
3481	IGF2	insulin like growth factor 2	11	NC_000011.10	2129117	2149566	147470
6616	SNAP25	synaptosome associated protein 25	20	NC_000020.11	10218830	10307418	600322
5021	OXTR	oxytocin receptor	3	NC_000003.12	8741269	8769613	167055
4131	MAP1B	microtubule associated protein 1B	5	NC_000005.10	72107475	72209565	157129
4842	NOS1	nitric oxide synthase 1	12	NC_000012.12	117208142	117361626	163731
1268	CNR1	cannabinoid receptor 1	6	NC_000006.12	88139864	88167349	114610
3682	ITGAE	integrin subunit alpha E	17	NC_000017.11	3714628	3801188	604682
51503	CWC15	CWC15 spliceosome associated protein homolog	11	NC_000011.10	94962620	94973556	
4160	MC4R	melanocortin 4 receptor	18	NC_000018.10	60371062	60372775	155541
65018	PINK1	PTEN induced kinase 1	1	NC_000001.11	20633458	20651511	608309
3351	HTR1B	5-hydroxytryptamine receptor 1B	6	NC_000006.12	77460924	77463491	182131
135	ADORA2A	adenosine A2a receptor	22	NC_000022.11	24423597	24442357	102776
2117	ETV3	ETS variant transcription factor 3	1	NC_000001.11	157121191	157138395	164873
1139	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit	15	NC_000015.10	32030483	32173018	118511
5294	PIK3CG	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"	7	NC_000007.14	106865282	106908980	601232
54329	GPR85	G protein-coupled receptor 85	7	NC_000007.14	113082285	113087724	605188
7295	TXN	thioredoxin	9	NC_000009.12	110243810	110256507	187700
4803	NGF	nerve growth factor	1	NC_000001.11	115285917	115338249	162030
114780	PKD1L2	polycystin 1 like 2 (gene/pseudogene)	16	NC_000016.10	81100875	81220394	607894
4129	MAOB	monoamine oxidase B	X	NC_000023.11	43766610	43882450	309860
3767	KCNJ11	potassium inwardly rectifying channel subfamily J member 11	11	NC_000011.10	17385248	17389346	600937
84623	KIRREL3	kirre like nephrin family adhesion molecule 3	11	NC_000011.10	126423358	127000870	607761
3350	HTR1A	5-hydroxytryptamine receptor 1A	5	NC_000005.10	63957874	63962445	109760
2852	GPER1	G protein-coupled estrogen receptor 1	7	NC_000007.14	1087118	1093810	601805
9575	CLOCK	clock circadian regulator	4	NC_000004.12	55427903	55546909	601851
2103	ESRRB	estrogen related receptor beta	14	NC_000014.9	76310777	76501837	602167
221458	KIF6	kinesin family member 6	6	NC_000006.12	39329990	39725408	613919
6016	RIT1	Ras like without CAAX 1	1	NC_000001.11	155897808	155911349	609591
342372	PKD1L3	"polycystin 1 like 3, transient receptor potential channel interacting"	16	NC_000016.10	71929538	72000402	607895
2904	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	12	NC_000012.12	13537337	13982134	138252
219699	UNC5B	unc-5 netrin receptor B	10	NC_000010.11	71212570	71302864	607870
23179	RGL1	ral guanine nucleotide dissociation stimulator like 1	1	NC_000001.11	183636109	183928532	605667
1020	CDK5	cyclin dependent kinase 5	7	NC_000007.14	151053815	151057897	123831
1420	CRYGC	crystallin gamma C	2	NC_000002.12	208128137	208129828	123680
4306	NR3C2	nuclear receptor subfamily 3 group C member 2	4	NC_000004.12	148078764	148445508	600983
27185	DISC1	DISC1 scaffold protein	1	NC_000001.11	231626790	232041272	605210
4041	LRP5	LDL receptor related protein 5	11	NC_000011.10	68298412	68449275	603506
4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	5	NC_000005.10	7850859	7901113	602568
7166	TPH1	tryptophan hydroxylase 1	11	NC_000011.10	18017555	18046269	191060
1816	DRD5	dopamine receptor D5	4	NC_000004.12	9781634	9784009	126453
7068	THRB	thyroid hormone receptor beta	3	NC_000003.12	24117153	24495708	190160
2668	GDNF	glial cell derived neurotrophic factor	5	NC_000005.10	37812677	37840041	600837
406958	MIR182	microRNA 182	7	NC_000007.14	129770383	129770492	611607
4208	MEF2C	myocyte enhancer factor 2C	5	NC_000005.10	88717117	88904105	600662
7054	TH	tyrosine hydroxylase	11	NC_000011.10	2163929	2171815	191290
1137	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit	20	NC_000020.11	63343223	63361349	118504
56951	C5orf15	chromosome 5 open reading frame 15	5	NC_000005.10	133955510	133968625	
412	STS	steroid sulfatase	X	NC_000023.11	7147290	7354641	300747
145946	SPATA8	spermatogenesis associated 8	15	NC_000015.10	96783435	96785615	613948
23040	MYT1L	myelin transcription factor 1 like	2	NC_000002.12	1789113	2331275	613084
22801	ITGA11	integrin subunit alpha 11	15	NC_000015.10	68296532	68432163	604789
6869	TACR1	tachykinin receptor 1	2	NC_000002.12	75046463	75199520	162323
1138	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit	15	NC_000015.10	78565520	78595269	118505
4040	LRP6	LDL receptor related protein 6	12	NC_000012.12	12116025	12267044	603507
2571	GAD1	glutamate decarboxylase 1	2	NC_000002.12	170813210	170861151	605363
9647	PPM1F	"protein phosphatase, Mg2+/Mn2+ dependent 1F"	22	NC_000022.11	21919425	21952848	619309
23245	ASTN2	astrotactin 2	9	NC_000009.12	116423112	117415057	612856
1136	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	15	NC_000015.10	78593052	78620996	118503
2903	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	16	NC_000016.10	9753404	10182908	138253
219409	GSX1	GS homeobox 1	13	NC_000013.11	27792483	27794768	616542
9586	CREB5	cAMP responsive element binding protein 5	7	NC_000007.14	28299321	28825894	618262
8864	PER2	period circadian regulator 2	2	NC_000002.12	238244044	238300065	603426
10082	GPC6	glypican 6	13	NC_000013.11	93216529	94408020	604404
862	RUNX1T1	RUNX1 partner transcriptional co-repressor 1	8	NC_000008.11	91954967	92103385	133435
9415	FADS2	fatty acid desaturase 2	11	NC_000011.10	61816203	61867354	606149
6804	STX1A	syntaxin 1A	7	NC_000007.14	73699210	73719669	186590
143689	PIWIL4	piwi like RNA-mediated gene silencing 4	11	NC_000011.10	94567368	94621421	610315
8464	SUPT3H	"SPT3 homolog, SAGA and STAGA complex component"	6	NC_000006.12	44809057	45377934	602947
3762	KCNJ5	potassium inwardly rectifying channel subfamily J member 5	11	NC_000011.10	128891356	128921163	600734
154743	BMT2	base methyltransferase of 25S rRNA 2 homolog	7	NC_000007.14	112819147	112939875	617855
406959	MIR183	microRNA 183	7	NC_000007.14	129774905	129775014	611608
9914	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	16	NC_000016.10	84368538	84464187	613082
93986	FOXP2	forkhead box P2	7	NC_000007.14	114086327	114693765	605317
4522	MTHFD1	"methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1"	14	NC_000014.9	64388353	64460025	172460
91752	ZNF804A	zinc finger protein 804A	2	NC_000002.12	184598529	184939492	612282
8863	PER3	period circadian regulator 3	1	NC_000001.11	7784291	7845177	603427
407053	MIR96	microRNA 96	7	NC_000007.14	129774692	129774769	611606
4916	NTRK3	neurotrophic receptor tyrosine kinase 3	15	NC_000015.10	87859751	88256739	191316
4908	NTF3	neurotrophin 3	12	NC_000012.12	5430332	5495299	162660
5730	PTGDS	prostaglandin D2 synthase	9	NC_000009.12	136977504	136981742	176803
26047	CNTNAP2	contactin associated protein 2	7	NC_000007.14	146116801	148420998	604569
3359	HTR3A	5-hydroxytryptamine receptor 3A	11	NC_000011.10	113975108	113990313	182139
1644	DDC	dopa decarboxylase	7	NC_000007.14	50458442	50565405	107930
1066	CES1	carboxylesterase 1	16	NC_000016.10	55802851	55833096	114835
152926	PPM1K	"protein phosphatase, Mg2+/Mn2+ dependent 1K"	4	NC_000004.12	88257620	88284561	611065
84152	PPP1R1B	protein phosphatase 1 regulatory inhibitor subunit 1B	17	NC_000017.11	39626707	39636624	604399
23284	ADGRL3	adhesion G protein-coupled receptor L3	4	NC_000004.12	61200326	62078335	616417
407042	MIR34C	microRNA 34c	11	NC_000011.10	111513439	111513515	611375
406961	MIR185	microRNA 185	22	NC_000022.11	20033139	20033220	615576
6507	SLC1A3	solute carrier family 1 member 3	5	NC_000005.10	36606606	36688334	600111
9201	DCLK1	doublecortin like kinase 1	13	NC_000013.11	35768652	36131939	604742
6310	ATXN1	ataxin 1	6	NC_000006.12	16299112	16761460	601556
387129	NPSR1	neuropeptide S receptor 1	7	NC_000007.14	34658218	34878332	608595
7905	REEP5	receptor accessory protein 5	5	NC_000005.10	112876385	112922227	125265
6857	SYT1	synaptotagmin 1	12	NC_000012.12	78863982	79452008	185605
6515	SLC2A3	solute carrier family 2 member 3	12	NC_000012.12	7919230	7936187	138170
64324	NSD1	nuclear receptor binding SET domain protein 1	5	NC_000005.10	177131798	177300213	606681
10893	MMP24	matrix metallopeptidase 24	20	NC_000020.11	35226690	35276998	604871
4336	MOBP	myelin associated oligodendrocyte basic protein	3	NC_000003.12	39467680	39529497	600948
407041	MIR34B	microRNA 34b	11	NC_000011.10	111512938	111513021	611374
407017	MIR26B	microRNA 26b	2	NC_000002.12	218402646	218402722	612152
9682	KDM4A	lysine demethylase 4A	1	NC_000001.11	43650149	43705518	609764
4543	MTNR1A	melatonin receptor 1A	4	NC_000004.12	186533655	186555567	600665
196446	MYRFL	myelin regulatory factor like	12	NC_000012.12	69825227	69959097	
84945	ABHD13	abhydrolase domain containing 13	13	NC_000013.11	108218392	108234243	
866	SERPINA6	serpin family A member 6	14	NC_000014.9	94304248	94323336	122500
3360	HTR4	5-hydroxytryptamine receptor 4	5	NC_000005.10	148451032	148654527	602164
6844	VAMP2	vesicle associated membrane protein 2	17	NC_000017.11	8159147	8162948	185881
2917	GRM7	glutamate metabotropic receptor 7	3	NC_000003.12	6861115	7741533	604101
1143	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	15	NC_000015.10	78624111	78661641	118509
123775	C16orf46	chromosome 16 open reading frame 46	16	NC_000016.10	81053497	81077238	
6855	SYP	synaptophysin	X	NC_000023.11	49187815	49200193	313475
100652824	KIAA2012	KIAA2012	2	NC_000002.12	202073255	202205188	
440695	ETV3L	ETS variant transcription factor 3 like	1	NC_000001.11	157092043	157099808	
100861550	PLUT	"PDX1 associated lncRNA, upregulator of transcription"	13	NC_000013.11	27819092	27917291	
729224	KIAA2012-AS1	KIAA2012 antisense RNA 1	2	NC_000002.12	202087555	202117058	
101928036	HRAT17	heart tissue-associated transcript 17	7	NC_000007.14	112954635	112995643	
101927062	LINC02294	long intergenic non-protein coding RNA 2294	14	NC_000014.9	26775495	26822120	
101927967	LOC101927967	uncharacterized LOC101927967	2	NC_000002.12	77743696	78290731	
7021	TFAP2B	transcription factor AP-2 beta	6	NC_000006.12	50818355	50847619	601601
152	ADRA2C	adrenoceptor alpha 2C	4	NC_000004.12	3766385	3768526	104250
10458	BAIAP2	BAR/IMD domain containing adaptor protein 2	17	NC_000017.11	81035151	81117434	605475
